Number,Id,Types,Name,Type1,Type2,PV,Vitesse,Attaque,Defense,Att_Spe,Def_Spe,Capture,Competence1,CType1,Category1,Power1,Accuracy1,Competence2,CType2,Category2,Power2,Accuracy2,Competence3,CType3,Category3,Power3,Accuracy3,Competence4,CType4,Category4,Power4,Accuracy4,Image,Acier,Combat,Dragon,Eau,Electrik,Fee,Feu,Glace,Insecte,Normal,Plante,Poison,Psy,Roche,Sol,Spectre,Tenebres,Vol
#144,144,Glace Vol,Artikodin,Glace,Vol,45,21,8,10,9,12,0,Tornade,Vol,Special,4,6,Poudreuse,Glace,Special,4,6,Empty,Glace,,,,Empty,Vol,,,,Artikodin-RFVF.png,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,1.0,4.0,0.0,1.0,1.0,1.0
#145,145,Electrik Vol,Électhor,Electrik,Vol,45,25,9,8,12,9,0,Picpic,Vol,Physique,3,6,Eclair,Electrik,Special,4,6,Empty,Electrik,,,,Empty,Vol,,,,Électhor-RFVF.png,0.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,2.0,0.0,1.0,1.0,0.5
#146,146,Feu Vol,Sulfura,Feu,Vol,45,22,10,9,12,8,0,Cru-Aile,Vol,Physique,6,6,Flammeche,Feu,Special,4,6,Empty,Feu,,,,Empty,Vol,,,,Sulfura-RFVF.png,0.5,0.5,1.0,2.0,2.0,0.5,0.5,1.0,0.25,1.0,0.25,1.0,1.0,4.0,0.0,1.0,1.0,1.0
#147,147,Dragon Dragon,Minidraco,Dragon,Dragon,20,12,6,4,5,5,0,Ligotage,Normal,Physique,1,0,Groz'Yeux,Normal,Statut,0,6,Empty,Dragon,,,,Empty,Dragon,,,,Minidraco-RFVF.png,1.0,1.0,2.0,0.5,0.5,2.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#148,148,Dragon Dragon,Draco,Dragon,Dragon,30,17,8,6,7,7,0,Ligotage,Normal,Physique,1,0,Groz'Yeux,Normal,Statut,0,6,Empty,Dragon,,,,Empty,Dragon,,,,Draco-RFVF.png,1.0,1.0,2.0,0.5,0.5,2.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#149,149,Dragon Vol,Dracolosse,Dragon,Vol,45,20,13,9,10,10,0,Cru-Aile,Vol,Physique,6,6,Vent Violent,Vol,Special,11,0,Empty,Dragon,,,,Empty,Vol,,,,Dracolosse-RFVF.png,1.0,0.5,2.0,0.5,1.0,2.0,0.5,4.0,0.5,1.0,0.25,1.0,1.0,2.0,0.0,1.0,1.0,1.0
#150,150,Psy Psy,Mewtwo,Psy,Psy,53,32,11,9,15,9,0,Affilage,Normal,Statut,0,0,Vague Psy,Psy,Special,0,6,Empty,Psy,,,,Empty,Psy,,,,Mewtwo-RFVF.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
#151,151,Psy Psy,Mew,Psy,Psy,50,25,10,10,10,10,0,Ecras'Face,Normal,Physique,4,6,Copie Type,Normal,Statut,0,0,Empty,Psy,,,,Empty,Psy,,,,Mew-RFVF.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
#163,163,Normal Vol,Hoothoot,Normal,Vol,30,12,3,3,3,5,5,Charge,Normal,Physique,4,6,Rugissement,Normal,Statut,0,6,Empty,Normal,,,,Empty,Vol,,,,Hoothoot-RFVF.png,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,2.0,0.0,0.0,1.0,1.0
#164,164,Normal Vol,Noarfang,Normal,Vol,50,17,5,5,8,9,1,Devoreve,Psy,Special,10,6,Pique,Vol,Physique,14,0,Empty,Normal,,,,Empty,Vol,,,,Noarfang-HGSS.png,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,2.0,0.0,0.0,1.0,1.0
#170,170,Eau Electrik,Loupio,Eau,Electrik,37,16,3,3,5,5,3,Ecume,Eau,Special,4,6,Ultrason,Normal,Statut,0,0,Empty,Eau,,,,Empty,Electrik,,,,Loupio-HGSS.png,0.25,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5
#171,171,Eau Electrik,Lanturn,Eau,Electrik,62,16,5,5,7,7,1,Stockage,Normal,Statut,0,0,Avale,Normal,Statut,0,0,Empty,Eau,,,,Empty,Electrik,,,,Lanturn-HGSS.png,0.25,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5
#172,172,Electrik Electrik,Pichu,Electrik,Electrik,10,15,4,1,3,3,3,Eclair,Electrik,Special,4,6,Charme,Fee,Statut,0,6,Empty,Electrik,,,,Empty,Electrik,,,,Pichu-RFVF.png,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5
#173,173,Fee Fee,Mélo,Fee,Fee,25,3,2,2,4,5,3,Ecras'Face,Normal,Physique,4,6,Charme,Fee,Statut,0,6,Empty,Fee,,,,Empty,Fee,,,,Mélo-RFVF.png,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
#175,175,Fee Fee,Togepi,Fee,Fee,17,5,2,6,4,6,3,Rugissement,Normal,Statut,0,6,Charme,Fee,Statut,0,6,Empty,Fee,,,,Empty,Fee,,,,Togepi-RFVF.png,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
#176,176,Fee Vol,Togetic,Fee,Vol,27,10,4,8,8,10,1,Feuille Magik,Plante,Special,6,0,Rugissement,Normal,Statut,0,6,Empty,Fee,,,,Empty,Vol,,,,Togetic-HGSS.png,2.0,0.25,0.0,1.0,2.0,1.0,1.0,2.0,0.25,1.0,0.5,2.0,1.0,2.0,0.0,1.0,0.5,1.0
#177,177,Psy Vol,Natu,Psy,Vol,20,17,5,4,7,4,3,Picpic,Vol,Physique,3,6,Groz'Yeux,Normal,Statut,0,6,Empty,Psy,,,,Empty,Vol,,,,Natu-HGSS.png,1.0,0.25,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,2.0,0.0,2.0,2.0,1.0
#178,178,Psy Vol,Xatu,Psy,Vol,32,23,7,7,9,7,1,Lame d'Air,Vol,Special,7,0,Vent Arriere,Vol,Statut,0,0,Empty,Psy,,,,Empty,Vol,,,,Xatu-HGSS.png,1.0,0.25,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,2.0,0.0,2.0,2.0,1.0
#182,182,Plante Plante,Joliflor,Plante,Plante,37,12,8,8,9,10,0,Feuille Magik,Plante,Special,6,0,Tempete Verte,Plante,Special,13,0,Empty,Plante,,,,Empty,Plante,,,,Joliflor-RFVF.png,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,2.0
#185,185,Roche Roche,Simularbre,Roche,Roche,35,7,10,11,3,6,1,Souplesse,Normal,Physique,8,0,Martobois,Plante,Physique,12,6,Empty,Roche,,,,Empty,Roche,,,,Simularbre-HGSS.png,2.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5
#194,194,Eau Sol,Axoloto,Eau,Sol,27,3,4,4,2,2,5,Pistolet a O,Eau,Special,4,6,Mimi-Queue,Normal,Statut,0,6,Empty,Eau,,,,Empty,Sol,,,,Axoloto-HGSS.png,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,4.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#195,195,Eau Sol,Maraiste,Eau,Sol,47,8,8,8,6,6,1,Pistolet a O,Eau,Special,4,6,Mimi-Queue,Normal,Statut,0,6,Empty,Eau,,,,Empty,Sol,,,,Maraiste-HGSS.png,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,4.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#196,196,Psy Psy,Mentali,Psy,Psy,32,27,6,6,13,9,0,Choc Mental,Psy,Special,5,6,Coup d'Main,Normal,Statut,0,0,Empty,Psy,,,,Empty,Psy,,,,Mentali-RFVF.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
#197,197,Tenebres Tenebres,Noctali,Tenebres,Tenebres,47,16,6,11,6,13,0,Poursuite,Tenebres,Physique,4,6,Coup d'Main,Normal,Statut,0,0,Empty,Tenebres,,,,Empty,Tenebres,,,,Noctali-RFVF.png,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0
#202,202,Psy Psy,Qulbutoké,Psy,Psy,95,8,3,5,3,5,0,Riposte,Combat,Physique,0,6,Voile Miroir,Psy,Special,0,6,Empty,Psy,,,,Empty,Psy,,,,Qulbutoké-HGSS.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
#208,208,Acier Sol,Steelix,Acier,Sol,37,7,8,20,5,6,0,Crocs Eclair,Electrik,Physique,6,0,Crocs Givre,Glace,Physique,6,0,Empty,Acier,,,,Empty,Sol,,,,Steelix-HGSS.png,0.5,2.0,0.5,2.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,0.0,0.5,0.25,2.0,1.0,1.0,0.5
#211,211,Eau Poison,Qwilfish,Eau,Poison,32,21,9,8,5,5,0,Dard Mortel,Insecte,Physique,5,6,Hydrocanon,Eau,Special,11,0,Empty,Eau,,,,Empty,Poison,,,,Qwilfish-HGSS.png,0.5,0.5,1.0,0.5,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
#213,213,Insecte Roche,Caratroc,Insecte,Roche,10,1,1,23,1,23,3,Toile Gluante,Insecte,Statut,0,0,Repli,Eau,Statut,0,0,Empty,Insecte,,,,Empty,Roche,,,,Caratroc-HGSS.png,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0
#215,215,Glace Tenebres,Farfuret,Glace,Tenebres,27,28,9,5,3,7,1,Griffe,Normal,Physique,4,6,Groz'Yeux,Normal,Statut,0,6,Empty,Glace,,,,Empty,Tenebres,,,,Farfuret-RFVF.png,2.0,4.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0
#220,220,Glace Sol,Marcacrin,Glace,Sol,25,12,5,4,3,3,4,Charge,Normal,Physique,4,6,Flair,Normal,Statut,0,0,Empty,Glace,,,,Empty,Sol,,,,Marcacrin-HGSS.png,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
#221,221,Glace Sol,Cochignon,Glace,Sol,50,12,10,8,6,6,1,Furie,Normal,Physique,1,0,Pouvoir Antique,Roche,Special,6,6,Empty,Glace,,,,Empty,Sol,,,,Cochignon-HGSS.png,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
#222,222,Eau Roche,Corayon,Eau,Roche,32,8,5,9,6,9,1,Charge,Normal,Physique,4,6,Armure,Normal,Statut,0,0,Empty,Eau,,,,Empty,Roche,,,,Corayon-HGSS.png,1.0,2.0,1.0,1.0,2.0,1.0,0.25,0.5,1.0,0.5,4.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5
#223,223,Eau Eau,Rémoraid,Eau,Eau,17,16,6,3,6,3,3,Pistolet a O,Eau,Special,4,6,Verrouillage,Normal,Statut,0,0,Empty,Eau,,,,Empty,Eau,,,,Rémoraid-HGSS.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#224,224,Eau Eau,Octillery,Eau,Eau,37,11,10,7,10,7,1,Octazooka,Eau,Special,6,0,Detricanon,Poison,Physique,12,0,Empty,Eau,,,,Empty,Eau,,,,Octillery-HGSS.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#225,225,Glace Vol,Cadoizo,Glace,Vol,22,18,5,4,6,4,0,Cadeau,Normal,Physique,0,0,Bec Vrille,Vol,Physique,8,6,Empty,Glace,,,,Empty,Vol,,,,Cadoizo-HGSS.png,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,1.0,4.0,0.0,1.0,1.0,1.0
#226,226,Eau Vol,Démanta,Eau,Vol,32,17,4,7,8,14,0,Rafale Psy,Psy,Special,6,6,Balle Graine,Plante,Physique,2,6,Empty,Eau,,,,Empty,Vol,,,,Démanta-HGSS.png,0.5,0.5,1.0,0.5,4.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
#236,236,Combat Combat,Debugant,Combat,Combat,17,8,3,3,3,3,1,Charge,Normal,Physique,4,6,Coup d'Main,Normal,Statut,0,0,Empty,Combat,,,,Empty,Combat,,,,Debugant-HGSS.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
#237,237,Combat Combat,Kapoera,Combat,Combat,25,17,9,9,3,11,0,Mawashi Geri,Combat,Physique,6,0,Effort,Normal,Physique,0,6,Empty,Combat,,,,Empty,Combat,,,,Kapoera-HGSS.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
#246,246,Roche Sol,Embrylex,Roche,Sol,25,10,6,5,4,5,0,Morsure,Tenebres,Physique,6,6,Groz'Yeux,Normal,Statut,0,6,Empty,Roche,,,,Empty,Sol,,,,Embrylex-HGSS.png,2.0,2.0,1.0,4.0,0.0,1.0,0.5,2.0,1.0,0.5,4.0,0.25,1.0,0.5,2.0,1.0,1.0,0.5
#247,247,Roche Sol,Ymphect,Roche,Sol,35,12,8,7,6,7,0,Morsure,Tenebres,Physique,6,6,Groz'Yeux,Normal,Statut,0,6,Empty,Roche,,,,Empty,Sol,,,,Ymphect-HGSS.png,2.0,2.0,1.0,4.0,0.0,1.0,0.5,2.0,1.0,0.5,4.0,0.25,1.0,0.5,2.0,1.0,1.0,0.5
#248,248,Roche Tenebres,Tyranocif,Roche,Tenebres,50,15,13,11,9,10,0,Crocs Eclair,Electrik,Physique,6,0,Crocs Givre,Glace,Physique,6,0,Empty,Roche,,,,Empty,Tenebres,,,,Tyranocif-HGSS.png,2.0,4.0,1.0,2.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,0.5,0.0,1.0,2.0,0.5,0.5,0.5
#263,263,Normal Normal,Zigzaton,Normal,Normal,19,15,3,4,3,4,5,Charge,Normal,Physique,4,6,Rugissement,Normal,Statut,0,6,Empty,Normal,,,,Empty,Normal,,,,Zigzaton-RS.png,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
#263,263,Normal Tenebres,Zigzaton_de_Galar,Normal,Tenebres,19,15,3,4,3,4,0,Groz'Yeux,Normal,Statut,0,6,Charge,Normal,Physique,4,6,Empty,Normal,,,,Empty,Tenebres,,,,Zigzaton_de_Galar-EB.png,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0
#264,264,Normal Normal,Linéon,Normal,Normal,39,25,7,6,5,6,1,Calinerie,Fee,Physique,9,0,Fertilisation,Sol,Statut,0,0,Empty,Normal,,,,Empty,Normal,,,,Linéon-RS.png,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
#270,270,Eau Plante,Nénupiot,Eau,Plante,20,7,3,3,4,5,5,Etonnement,Spectre,Physique,3,6,Rugissement,Normal,Statut,0,6,Empty,Eau,,,,Empty,Plante,,,,Nénupiot-RS.png,0.5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0
#271,271,Eau Plante,Lombre,Eau,Plante,30,12,5,5,6,7,2,Etonnement,Spectre,Physique,3,6,Rugissement,Normal,Statut,0,6,Empty,Eau,,,,Empty,Plante,,,,Lombre-RS.png,0.5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0
#272,272,Eau Plante,Ludicolo,Eau,Plante,40,17,7,7,9,10,0,Etonnement,Spectre,Physique,3,6,Rugissement,Normal,Statut,0,6,Empty,Eau,,,,Empty,Plante,,,,Ludicolo-RS.png,0.5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0
#273,273,Plante Plante,Grainipiot,Plante,Plante,20,7,4,5,3,3,5,Patience,Normal,Physique,0,0,Armure,Normal,Statut,0,0,Empty,Plante,,,,Empty,Plante,,,,Grainipiot-RS.png,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,2.0
#274,274,Plante Tenebres,Pifeuil,Plante,Tenebres,35,15,7,4,6,4,2,Tranch'Herbe,Plante,Physique,5,0,Ecras'Face,Normal,Physique,4,6,Empty,Plante,,,,Empty,Tenebres,,,,Pifeuil-RS.png,1.0,2.0,1.0,0.5,0.5,2.0,2.0,2.0,4.0,1.0,0.5,2.0,0.0,1.0,0.5,0.5,0.5,2.0
#275,275,Plante Tenebres,Tengalice,Plante,Tenebres,45,20,10,6,9,6,0,Tranch'Herbe,Plante,Physique,5,0,Feinte,Tenebres,Physique,6,0,Empty,Plante,,,,Empty,Tenebres,,,,Tengalice-RS.png,1.0,2.0,1.0,0.5,0.5,2.0,2.0,2.0,4.0,1.0,0.5,2.0,0.0,1.0,0.5,0.5,0.5,2.0
#278,278,Eau Vol,Goélise,Eau,Vol,20,21,3,3,5,3,3,Rugissement,Normal,Statut,0,6,Pistolet a O,Eau,Special,4,6,Empty,Eau,,,,Empty,Vol,,,,Goélise-RS.png,0.5,0.5,1.0,0.5,4.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
#279,279,Eau Vol,Bekipan,Eau,Vol,30,16,5,10,8,7,0,Abri,Normal,Statut,0,0,Vent Violent,Vol,Special,11,0,Empty,Eau,,,,Empty,Vol,,,,Bekipan-RS.png,0.5,0.5,1.0,0.5,4.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
#280,280,Fee Psy,Tarsal,Fee,Psy,14,10,2,2,4,3,4,Rugissement,Normal,Statut,0,6,Choc Mental,Psy,Special,5,6,Empty,Fee,,,,Empty,Psy,,,,Tarsal-RS.png,2.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0
#281,281,Fee Psy,Kirlia,Fee,Psy,19,12,3,3,6,5,2,Rugissement,Normal,Statut,0,6,Choc Mental,Psy,Special,5,6,Empty,Fee,,,,Empty,Psy,,,,Kirlia-RS.png,2.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0
#282,282,Fee Psy,Gardevoir,Fee,Psy,34,20,6,6,12,11,0,Pouvoir Lunaire,Fee,Special,9,6,Force Ajoutee,Psy,Special,2,6,Empty,Fee,,,,Empty,Psy,,,,Gardevoir-RS.png,2.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0
#290,290,Insecte Sol,Ningale,Insecte,Sol,15,10,4,9,3,3,5,Griffe,Normal,Physique,4,6,Armure,Normal,Statut,0,0,Empty,Insecte,,,,Empty,Sol,,,,Ningale-RS.png,1.0,0.5,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0
#291,291,Insecte Vol,Ninjask,Insecte,Vol,30,40,9,4,5,5,2,Reflet,Normal,Statut,0,0,Grincement,Normal,Statut,0,0,Empty,Insecte,,,,Empty,Vol,,,,Ninjask-RS.png,1.0,0.25,1.0,1.0,2.0,1.0,2.0,2.0,0.5,1.0,0.25,1.0,1.0,4.0,0.0,1.0,1.0,2.0
#292,292,Insecte Spectre,Munja,Insecte,Spectre,0,10,9,4,3,3,0,Griffe,Normal,Physique,4,6,Armure,Normal,Statut,0,0,Empty,Insecte,,,,Empty,Spectre,,,,Munja-RS.png,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.5,1.0,2.0,0.5,2.0,2.0,2.0
#302,302,Spectre Tenebres,Ténéfix,Spectre,Tenebres,25,12,7,7,6,6,0,Groz'Yeux,Normal,Statut,0,6,Griffe,Normal,Physique,4,6,Empty,Spectre,,,,Empty,Tenebres,,,,Ténéfix-RS.png,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0
#303,303,Acier Fee,Mysdibule,Acier,Fee,25,12,8,8,5,5,0,Calinerie,Fee,Physique,9,0,Tete de Fer,Acier,Physique,8,6,Empty,Acier,,,,Empty,Fee,,,,Mysdibule-RS.png,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.5,0.25,0.5,0.5,0.0,0.5,0.5,2.0,1.0,0.5,0.5
#309,309,Electrik Electrik,Dynavolt,Electrik,Electrik,20,16,4,4,6,4,2,Charge,Normal,Physique,4,6,Cage-Eclair,Electrik,Statut,0,0,Empty,Electrik,,,,Empty,Electrik,,,,Dynavolt-RS.png,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5
#310,310,Electrik Electrik,Élecsprint,Electrik,Electrik,35,26,7,6,10,6,0,Champ Electrifie,Electrik,Statut,0,0,Crocs Feu,Feu,Physique,6,0,Empty,Electrik,,,,Empty,Electrik,,,,Élecsprint-RS.png,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5
#315,315,Plante Poison,Rosélia,Plante,Poison,25,16,6,4,10,8,3,Vol-Vie,Plante,Special,2,6,Croissance,Normal,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Rosélia-RS.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
#320,320,Eau Eau,Wailmer,Eau,Eau,65,15,7,3,7,3,2,Trempette,Normal,Statut,0,0,Rugissement,Normal,Statut,0,6,Empty,Eau,,,,Empty,Eau,,,,Wailmer-RS.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#321,321,Eau Eau,Wailord,Eau,Eau,85,15,9,4,9,4,1,Detrempage,Eau,Statut,0,0,Rale Male,Normal,Statut,0,6,Empty,Eau,,,,Empty,Eau,,,,Wailord-RS.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#324,324,Feu Feu,Chartor,Feu,Feu,35,5,8,14,8,7,1,Flammeche,Feu,Special,4,6,Puredpois,Poison,Special,3,0,Empty,Feu,,,,Empty,Feu,,,,Chartor-RS.png,0.5,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0
#328,328,Sol Sol,Kraknoix,Sol,Sol,22,2,10,4,4,4,5,Jet de Sable,Sol,Statut,0,6,Morsure,Tenebres,Physique,6,6,Empty,Sol,,,,Empty,Sol,,,,Kraknoix-RS.png,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#329,329,Dragon Sol,Vibraninf,Dragon,Sol,25,17,7,5,5,5,2,Dracosouffle,Dragon,Special,6,6,Jet de Sable,Sol,Statut,0,6,Empty,Dragon,,,,Empty,Sol,,,,Vibraninf-RS.png,1.0,1.0,2.0,1.0,0.0,2.0,0.5,4.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#330,330,Dragon Sol,Libégon,Dragon,Sol,40,25,10,8,8,8,0,Dracogriffe,Dragon,Physique,8,6,Dracosouffle,Dragon,Special,6,6,Empty,Dragon,,,,Empty,Sol,,,,Libégon-RS.png,1.0,1.0,2.0,1.0,0.0,2.0,0.5,4.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#337,337,Psy Roche,Séléroc,Psy,Roche,35,17,5,6,9,8,0,Rayon Gemme,Roche,Special,8,6,Choc Psy,Psy,Special,8,6,Empty,Psy,,,,Empty,Roche,,,,Séléroc-RS.png,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,2.0,2.0,0.5
#338,338,Psy Roche,Solaroc,Psy,Roche,35,17,9,8,5,6,0,Boutefeu,Feu,Physique,12,6,Charge,Normal,Physique,4,6,Empty,Psy,,,,Empty,Roche,,,,Solaroc-RS.png,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,2.0,2.0,0.5
#339,339,Eau Sol,Barloche,Eau,Sol,25,15,4,4,4,4,3,Coud'Boue,Sol,Special,2,6,Lance-Boue,Sol,Statut,0,0,Empty,Eau,,,,Empty,Sol,,,,Barloche-RS.png,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,4.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#340,340,Eau Sol,Barbicha,Eau,Sol,55,15,7,7,7,7,1,Mania,Normal,Physique,12,6,Eructation,Poison,Special,12,0,Empty,Eau,,,,Empty,Sol,,,,Barbicha-RS.png,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,4.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
#341,341,Eau Eau,Écrapince,Eau,Eau,21,8,8,6,5,3,4,Ecume,Eau,Special,4,6,Armure,Normal,Statut,0,0,Empty,Eau,,,,Empty,Eau,,,,Écrapince-RS.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
